Handle,Title,ID,Variant ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Image,product_link,color_code
4302449,,7654906527823,42340552867919,,Green,,M,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449500-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086880&v2=2432093,500
4302449,,7654906527823,42340552900687,,Green,,L,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449500-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086880&v2=2432093,500
4302449,,7654906527823,42340552933455,,Green,,XL,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302449500-p.jpg?v=1734181394,https://www.zara.com/in/en/linen---cotton-bermuda-shorts-p04302449.html?v1=364086880&v2=2432093,500
4302400,LIGHTWEIGHT BOMBER JACKET,7654906495055,42340552573007,Color,Light khaki,Size,L,3550.0,3550.0,1000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302400506-p.jpg?v=1734181377,https://www.zara.com/in/en/lightweight-bomber-jacket-p04302400.html?v1=364107259&v2=2467339,506
4302309,WIDE FIT CHINO TROUSERS,7654906462287,42340552278095,Color,camel,Size,EU 36 (UK 29),4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302309707-e1.jpg?v=1734181375,https://www.zara.com/in/en/wide-fit-chino-trousers-p04302309.html?v1=402773010&v2=2432064,707
4302309,,7654906462287,42340552310863,,camel,,EU 38 (UK 30),4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302309707-e1.jpg?v=1734181375,https://www.zara.com/in/en/wide-fit-chino-trousers-p04302309.html?v1=402773010&v2=2432064,707
4302309,,7654906462287,42340552343631,,camel,,EU 44 (UK 34),4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04302309707-e1.jpg?v=1734181375,https://www.zara.com/in/en/wide-fit-chino-trousers-p04302309.html?v1=402773010&v2=2432064,707
4231550,EXTRA HEAVYWEIGHT T-SHIRT,7654906429519,42340552245327,Color,Ecru,Size,S,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231500712-p.jpg?v=1734181372,https://www.zara.com/in/en/extra-heavyweight-t-shirt-p04231550.html?v1=423129467&v2=2432014,712
4231426,KNIT COTTON T-SHIRT,7654906396751,42340551852111,Color,Black,Size,XL,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426800-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367150849&v2=2432258,800
4231426,,7654906396751,42340551884879,,Petrol blue,,S,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426409-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367150853&v2=2432258,409
4231426,,7654906396751,42340551917647,,Raspberry,,M,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231326671-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=378106747&v2=2432258,671
4231426,,7654906396751,42340551950415,,Raspberry,,XL,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231326671-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=378106747&v2=2432258,671
4231426,,7654906396751,42340551983183,,Brown / Taupe,,S,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426737-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670693&v2=2432258,737
4231426,,7654906396751,42340552015951,,Brown / Taupe,,M,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426737-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670693&v2=2432258,737
4231426,,7654906396751,42340552048719,,Brown / Taupe,,L,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426737-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670693&v2=2432258,737
4231426,,7654906396751,42340552081487,,Brown / Taupe,,XL,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426737-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670693&v2=2432258,737
4231426,,7654906396751,42340552114255,,Light grey,,S,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426811-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670692&v2=2432258,811
4231426,,7654906396751,42340552147023,,Light grey,,M,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426811-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670692&v2=2432258,811
4231426,,7654906396751,42340552179791,,Light grey,,L,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426811-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670692&v2=2432258,811
4231426,,7654906396751,42340552212559,,Light grey,,XL,1950.0,1950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231426811-p.jpg?v=1734181382,https://www.zara.com/in/en/knit-cotton-t-shirt-p04231426.html?v1=367670692&v2=2432258,811
4231302,T-SHIRT WITH BUTTONED NECK,7654906363983,42340551688271,Color,Black,Size,S,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231302800-p.jpg?v=1734181365,https://www.zara.com/in/en/t-shirt-with-buttoned-neck-p04231302.html?v1=364117513&v2=2432014,800
4231302,,7654906363983,42340551721039,,Black,,M,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231302800-p.jpg?v=1734181365,https://www.zara.com/in/en/t-shirt-with-buttoned-neck-p04231302.html?v1=364117513&v2=2432014,800
4231302,,7654906363983,42340551753807,,Black,,L,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231302800-p.jpg?v=1734181365,https://www.zara.com/in/en/t-shirt-with-buttoned-neck-p04231302.html?v1=364117513&v2=2432014,800
4231302,,7654906363983,42340551786575,,Black,,XL,2950.0,2950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04231302800-p.jpg?v=1734181365,https://www.zara.com/in/en/t-shirt-with-buttoned-neck-p04231302.html?v1=364117513&v2=2432014,800
4216309,TEXTURED RIBBED CARDIGAN,7654906331215,42340551655503,Color,Khaki,Size,XL,4950.0,4950.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216309505-p.jpg?v=1734181363,https://www.zara.com/in/en/textured-ribbed-cardigan-p04216309.html?v1=383121789&v2=2432243,505
4216307,SWEATER WITH IRREGULAR STRIPES,7654906298447,42340551589967,Color,Ecru / Black,Size,L,3550.0,3550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216307070-p.jpg?v=1734181359,https://www.zara.com/in/en/sweater-with-irregular-stripes-p04216307.html?v1=379363728&v2=2432249,070
4216307,,7654906298447,42340551622735,,Ecru / Black,,XL,3550.0,3550.0,2000.0,https://cdn.shopify.com/s/files/1/0613/4677/5119/files/04216307070-p.jpg?v=1734181359,https://www.zara.com/in/en/sweater-with-irregular-stripes-p04216307.html?v1=379363728&v2=2432249,070
